Experiment,N Features,CV Accuracy,CV F1,CV F1 Std,CV ROC-AUC,Test Accuracy,Test Precision,Test Recall,Test F1,Test ROC-AUC,Test PR-AUC
E1: Naive Mean Count,1,0.8185,0.8301,0.1073,0.8104,0.897,0.8582,0.9565,0.9047,0.8369,0.7015
E2: Density Only,2,0.837,0.8488,0.1145,0.8317,0.7919,0.7131,0.9921,0.8298,0.8037,0.6676
E3: E2 + Stability,5,0.9876,0.9881,0.0058,0.9986,0.9899,0.996,0.9842,0.9901,0.9998,0.9998
E4: E3 + Geometry,7,0.9886,0.9888,0.0048,0.999,0.9879,0.996,0.9802,0.988,0.9998,0.9998
E5: Full TUBLEX,11,0.9916,0.9921,0.0053,0.9993,0.9859,0.996,0.9763,0.986,0.9998,0.9998
