sample_id,source_video_id,window_id,label,predicted_label,leak_probability,condition_id,data_group,g,psi,n_windows,n_label_0,n_label_1,prediction_type
L_G24_PSI10_V001_W0047,L_G24_PSI10_V001,47,0,1,0.922361,G24_PSI10,leak,24,10,46,4,42,FP
L_G14_PSI05_V001_W0004,L_G14_PSI05_V001,4,1,0,0.46643978,G14_PSI05,leak,14,5,30,5,25,FN
L_G24_PSI30_V001_W0004,L_G24_PSI30_V001,4,1,0,0.44984284,G24_PSI30,leak,24,30,45,1,44,FN
L_G24_PSI10_V001_W0046,L_G24_PSI10_V001,46,1,0,0.37780076,G24_PSI10,leak,24,10,46,4,42,FN
L_G16_PSI22_V001_W0017,L_G16_PSI22_V001,17,1,0,0.34704235,G16_PSI22,leak,16,22,26,7,19,FN
L_G18_PSI26_V001_W0013,L_G18_PSI26_V001,13,1,0,0.33760604,G18_PSI26,leak,18,26,24,6,18,FN
L_G12_PSI05_V001_W0005,L_G12_PSI05_V001,5,1,0,0.24975741,G12_PSI05,leak,12,5,40,8,32,FN
