sample_id,source_video_id,window_id,condition_id,data_group,g,psi,label,predicted_label,leak_probability,prediction_type
NL_G20_500UL_V002_W0022,NL_G20_500UL_V002,22,G20_500UL,few_non_leak,20,0,0,0,0.00023907611,TN
L_G16_PSI14_V001_W0015,L_G16_PSI14_V001,15,G16_PSI14,leak,16,14,1,1,0.9996854,TP
